GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab0-discount-calculator-percentage,lab0,Main,86,0,4,0,16,0,4,0,2,0
lab0-discount-calculator-percentage,lab0,DiscountCalculator,0,39,0,8,0,10,0,6,0,2
